District,Taluk,Market,Commodity,Month,Arrival,Unit,Month_Num
Bagalakot,Badami,BADAMI,She Baffalo,Aug,409,Numbers,8
Bagalakot,Badami,BADAMI,She Goat,Aug,1415,Numbers,8
Bagalakot,Badami,BADAMI,Sheep,Aug,1240,Numbers,8
Bagalakot,Badami,BADAMI,Bajra,Sep,807,Quintal,9
Bagalakot,Badami,BADAMI,Bull,Sep,84,Numbers,9
Bagalakot,Badami,BADAMI,Cow,Sep,205,Numbers,9
Bagalakot,Badami,BADAMI,Goat,Sep,752,Numbers,9
Bagalakot,Badami,BADAMI,He Baffalo,Sep,32,Numbers,9
Bagalakot,Badami,BADAMI,Jowar,Sep,203,Quintal,9
Bagalakot,Badami,BADAMI,Maize,Sep,5792,Quintal,9
Bagalakot,Badami,BADAMI,Ox,Sep,141,Numbers,9
Bagalakot,Badami,BADAMI,Ram,Sep,860,Numbers,9
Bagalakot,Badami,BADAMI,She Baffalo,Sep,219,Numbers,9
Bagalakot,Badami,BADAMI,She Goat,Sep,1216,Numbers,9
Bagalakot,Badami,BADAMI,Sheep,Sep,1104,Numbers,9
Bagalakot,Badami,BADAMI,Sunflower,Sep,332,Quintal,9
Bagalakot,Badami,BADAMI,Bajra,Oct,6401,Quintal,10
Bagalakot,Badami,BADAMI,Bull,Oct,120,Numbers,10
Bagalakot,Badami,BADAMI,Castor Seed,Oct,100,Quintal,10
Bagalakot,Badami,BADAMI,Cow,Oct,124,Numbers,10
Bagalakot,Badami,BADAMI,Goat,Oct,690,Numbers,10
Bagalakot,Badami,BADAMI,He Baffalo,Oct,45,Numbers,10
Bagalakot,Badami,BADAMI,Jowar,Oct,238,Quintal,10
Bagalakot,Badami,BADAMI,Maize,Oct,6401,Quintal,10
Bagalakot,Badami,BADAMI,Neem Seed,Oct,75,Quintal,10
Bagalakot,Badami,BADAMI,Ox,Oct,204,Numbers,10
Bagalakot,Badami,BADAMI,Ram,Oct,811,Numbers,10
Bagalakot,Badami,BADAMI,She Baffalo,Oct,247,Numbers,10
Bagalakot,Badami,BADAMI,She Goat,Oct,1475,Numbers,10
Bagalakot,Badami,BADAMI,Sheep,Oct,1720,Numbers,10
Bagalakot,Badami,BADAMI,Sunflower,Oct,297,Quintal,10
Bagalakot,Badami,BADAMI,Bajra,Nov,3028,Quintal,11
Bagalakot,Badami,BADAMI,Bengalgram,Nov,151,Quintal,11
Bagalakot,Badami,BADAMI,Bull,Nov,56,Numbers,11
Bagalakot,Badami,BADAMI,Cow,Nov,168,Numbers,11
Bagalakot,Badami,BADAMI,Goat,Nov,831,Numbers,11
Bagalakot,Badami,BADAMI,He Baffalo,Nov,29,Numbers,11
Bagalakot,Badami,BADAMI,Jowar,Nov,410,Quintal,11
Bagalakot,Badami,BADAMI,Maize,Nov,6401,Quintal,11
Bagalakot,Badami,BADAMI,Neem Seed,Nov,75,Quintal,11
Bagalakot,Badami,BADAMI,Ox,Nov,135,Numbers,11
Bagalakot,Badami,BADAMI,Ram,Nov,827,Numbers,11
Bagalakot,Badami,BADAMI,She Baffalo,Nov,240,Numbers,11
Bagalakot,Badami,BADAMI,She Goat,Nov,1531,Numbers,11
Bagalakot,Badami,BADAMI,Sheep,Nov,1905,Numbers,11
Bagalakot,Badami,BADAMI,Sunflower,Nov,206,Quintal,11
Bagalakot,Badami,BADAMI,Wheat,Nov,80,Quintal,11
Bagalakot,Badami,BADAMI,Bajra,Dec,6401,Quintal,12
Bagalakot,Badami,BADAMI,Bull,Dec,60,Numbers,12
Bagalakot,Badami,BADAMI,Cow,Dec,193,Numbers,12
Bagalakot,Badami,BADAMI,Goat,Dec,1150,Numbers,12
Bagalakot,Badami,BADAMI,Groundnut,Dec,110,Quintal,12
Bagalakot,Badami,BADAMI,He Baffalo,Dec,41,Numbers,12
Bagalakot,Badami,BADAMI,Horse Gram,Dec,22,Quintal,12
Bagalakot,Badami,BADAMI,Jowar,Dec,420,Quintal,12
Bagalakot,Badami,BADAMI,Maize,Dec,6401,Quintal,12
Bagalakot,Badami,BADAMI,Ox,Dec,231,Numbers,12
Bagalakot,Badami,BADAMI,Ram,Dec,1068,Numbers,12
Bagalakot,Badami,BADAMI,She Baffalo,Dec,242,Numbers,12
Bagalakot,Badami,BADAMI,She Goat,Dec,2181,Numbers,12
Bagalakot,Badami,BADAMI,Sheep,Dec,2479,Numbers,12
Bagalakot,Badami,BADAMI,Sunflower,Dec,515,Quintal,12
Bagalakot,Bagalkot,BAGALKOT,Bajra,Jan,1163,Quintal,1
Bagalakot,Bagalkot,BAGALKOT,Bengalgram,Jan,6401,Quintal,1
Bagalakot,Bagalkot,BAGALKOT,Greengram,Jan,90,Quintal,1
Bagalakot,Bagalkot,BAGALKOT,Groundnut,Jan,53,Quintal,1
Bagalakot,Bagalkot,BAGALKOT,Jowar,Jan,598,Quintal,1
Bagalakot,Bagalkot,BAGALKOT,Maize,Jan,6401,Quintal,1
Bagalakot,Bagalkot,BAGALKOT,Onion,Jan,6401,Quintal,1
Bagalakot,Bagalkot,BAGALKOT,Sunflower,Jan,6401,Quintal,1
Bagalakot,Bagalkot,BAGALKOT,Tur,Jan,933,Quintal,1
Bagalakot,Bagalkot,BAGALKOT,Alasande Gram,Feb,2,Quintal,2
Bagalakot,Bagalkot,BAGALKOT,Bajra,Feb,338,Quintal,2
Bagalakot,Bagalkot,BAGALKOT,Bengalgram,Feb,5357,Quintal,2
Bagalakot,Bagalkot,BAGALKOT,Groundnut,Feb,1854,Quintal,2
Bagalakot,Bagalkot,BAGALKOT,Maize,Feb,3423,Quintal,2
Bagalakot,Bagalkot,BAGALKOT,Onion,Feb,6401,Quintal,2
Bagalakot,Bagalkot,BAGALKOT,Safflower,Feb,16,Quintal,2
Bagalakot,Bagalkot,BAGALKOT,Sunflower,Feb,632,Quintal,2
Bagalakot,Bagalkot,BAGALKOT,Tur,Feb,29,Quintal,2
Bagalakot,Bagalkot,BAGALKOT,Alasande Gram,Mar,78,Quintal,3
Bagalakot,Bagalkot,BAGALKOT,Bajra,Mar,85,Quintal,3
Bagalakot,Bagalkot,BAGALKOT,Bengalgram,Mar,1775,Quintal,3
Bagalakot,Bagalkot,BAGALKOT,Cowpea,Mar,35,Quintal,3
Bagalakot,Bagalkot,BAGALKOT,Greengram,Mar,9,Quintal,3
Bagalakot,Bagalkot,BAGALKOT,Groundnut,Mar,4669,Quintal,3
Bagalakot,Bagalkot,BAGALKOT,Jowar,Mar,10,Quintal,3
Bagalakot,Bagalkot,BAGALKOT,Maize,Mar,3068,Quintal,3
Bagalakot,Bagalkot,BAGALKOT,Onion,Mar,6401,Quintal,3
Bagalakot,Bagalkot,BAGALKOT,Safflower,Mar,32,Quintal,3
Bagalakot,Bagalkot,BAGALKOT,Sunflower,Mar,695,Quintal,3
Bagalakot,Bagalkot,BAGALKOT,Tur,Mar,28,Quintal,3
Bagalakot,Bagalkot,BAGALKOT,Wheat,Mar,421,Quintal,3
Bagalakot,Bagalkot,BAGALKOT,Alasande Gram,Apr,100,Quintal,4
Bagalakot,Bagalkot,BAGALKOT,Bajra,Apr,30,Quintal,4
Bagalakot,Bagalkot,BAGALKOT,Bengalgram,Apr,816,Quintal,4
Bagalakot,Bagalkot,BAGALKOT,Cowpea,Apr,117,Quintal,4
Bagalakot,Bagalkot,BAGALKOT,Groundnut,Apr,6401,Quintal,4
Bagalakot,Bagalkot,BAGALKOT,Maize,Apr,5778,Quintal,4
Bagalakot,Bagalkot,BAGALKOT,Onion,Apr,6401,Quintal,4
Bagalakot,Bagalkot,BAGALKOT,Safflower,Apr,1,Quintal,4
Bagalakot,Bagalkot,BAGALKOT,Sesamum,Apr,53,Quintal,4
Bagalakot,Bagalkot,BAGALKOT,Sunflower,Apr,1195,Quintal,4
Bagalakot,Bagalkot,BAGALKOT,Wheat,Apr,56,Quintal,4
Bagalakot,Bagalkot,BAGALKOT,Alasande Gram,May,54,Quintal,5
Bagalakot,Bagalkot,BAGALKOT,Bajra,May,16,Quintal,5
Bagalakot,Bagalkot,BAGALKOT,Bengalgram,May,112,Quintal,5
Bagalakot,Bagalkot,BAGALKOT,Cotton Seed,May,38,Quintal,5
Bagalakot,Bagalkot,BAGALKOT,Cowpea,May,46,Quintal,5
Bagalakot,Bagalkot,BAGALKOT,Greengram,May,6,Quintal,5
Bagalakot,Bagalkot,BAGALKOT,Groundnut,May,6401,Quintal,5
Bagalakot,Bagalkot,BAGALKOT,Maize,May,2370,Quintal,5
Bagalakot,Bagalkot,BAGALKOT,Onion,May,6401,Quintal,5
Bagalakot,Bagalkot,BAGALKOT,Sesamum,May,211,Quintal,5
Bagalakot,Bagalkot,BAGALKOT,Sunflower,May,1527,Quintal,5
Bagalakot,Bagalkot,BAGALKOT,Tur,May,164,Quintal,5
Bagalakot,Bagalkot,BAGALKOT,Bengalgram,Jun,44,Quintal,6
Bagalakot,Bagalkot,BAGALKOT,Cowpea,Jun,1,Quintal,6
Bagalakot,Bagalkot,BAGALKOT,Groundnut,Jun,6401,Quintal,6
Bagalakot,Bagalkot,BAGALKOT,Jowar,Jun,9,Quintal,6
Bagalakot,Bagalkot,BAGALKOT,Maize,Jun,471,Quintal,6
Bagalakot,Bagalkot,BAGALKOT,Onion,Jun,6401,Quintal,6
Bagalakot,Bagalkot,BAGALKOT,Sesamum,Jun,51,Quintal,6
Bagalakot,Bagalkot,BAGALKOT,Sunflower,Jun,824,Quintal,6
Bagalakot,Bagalkot,BAGALKOT,Tur,Jun,95,Quintal,6
Bagalakot,Bagalkot,BAGALKOT,Bajra,Jul,8,Quintal,7
Bagalakot,Bagalkot,BAGALKOT,Bengalgram,Jul,38,Quintal,7
Bagalakot,Bagalkot,BAGALKOT,Greengram,Jul,118,Quintal,7
Bagalakot,Bagalkot,BAGALKOT,Groundnut,Jul,6401,Quintal,7
Bagalakot,Bagalkot,BAGALKOT,Maize,Jul,15,Quintal,7
Bagalakot,Bagalkot,BAGALKOT,Onion,Jul,6401,Quintal,7
Bagalakot,Bagalkot,BAGALKOT,Sunflower,Jul,254,Quintal,7
Bagalakot,Bagalkot,BAGALKOT,Alasande Gram,Aug,52,Quintal,8
Bagalakot,Bagalkot,BAGALKOT,Bajra,Aug,173,Quintal,8
Bagalakot,Bagalkot,BAGALKOT,Greengram,Aug,1264,Quintal,8
Bagalakot,Bagalkot,BAGALKOT,Groundnut,Aug,82,Quintal,8
Bagalakot,Bagalkot,BAGALKOT,Maize,Aug,6,Quintal,8
Bagalakot,Bagalkot,BAGALKOT,Onion,Aug,6401,Quintal,8
Bagalakot,Bagalkot,BAGALKOT,Sunflower,Aug,471,Quintal,8
Bagalakot,Bagalkot,BAGALKOT,Bajra,Sep,1006,Quintal,9
Bagalakot,Bagalkot,BAGALKOT,Cotton Seed,Sep,1546,Quintal,9
Bagalakot,Bagalkot,BAGALKOT,Greengram,Sep,540,Quintal,9
Bagalakot,Bagalkot,BAGALKOT,Groundnut,Sep,190,Quintal,9
Bagalakot,Bagalkot,BAGALKOT,Jowar,Sep,621,Quintal,9
Bagalakot,Bagalkot,BAGALKOT,Maize,Sep,358,Quintal,9
Bagalakot,Bagalkot,BAGALKOT,Onion,Sep,6401,Quintal,9
Bagalakot,Bagalkot,BAGALKOT,Sesamum,Sep,312,Quintal,9
Bagalakot,Bagalkot,BAGALKOT,Sunflower,Sep,5108,Quintal,9
Bagalakot,Bagalkot,BAGALKOT,Bajra,Oct,6401,Quintal,10
Bagalakot,Bagalkot,BAGALKOT,Bengalgram,Oct,22,Quintal,10
Bagalakot,Bagalkot,BAGALKOT,Greengram,Oct,135,Quintal,10
Bagalakot,Bagalkot,BAGALKOT,Groundnut,Oct,255,Quintal,10
Bagalakot,Bagalkot,BAGALKOT,Jowar,Oct,670,Quintal,10
Bagalakot,Bagalkot,BAGALKOT,Maize,Oct,6401,Quintal,10
Bagalakot,Bagalkot,BAGALKOT,Onion,Oct,6401,Quintal,10
Bagalakot,Bagalkot,BAGALKOT,Sesamum,Oct,112,Quintal,10
Bagalakot,Bagalkot,BAGALKOT,Sunflower,Oct,4032,Quintal,10
Bagalakot,Bagalkot,BAGALKOT,Wheat,Oct,121,Quintal,10
Bagalakot,Bagalkot,BAGALKOT,Bajra,Nov,6401,Quintal,11
Bagalakot,Bagalkot,BAGALKOT,Greengram,Nov,23,Quintal,11
Bagalakot,Bagalkot,BAGALKOT,Groundnut,Nov,624,Quintal,11
Bagalakot,Bagalkot,BAGALKOT,Jowar,Nov,179,Quintal,11
Bagalakot,Bagalkot,BAGALKOT,Maize,Nov,6401,Quintal,11
Bagalakot,Bagalkot,BAGALKOT,Onion,Nov,6401,Quintal,11
Bagalakot,Bagalkot,BAGALKOT,Sunflower,Nov,2479,Quintal,11
Bagalakot,Bagalkot,BAGALKOT,Tur,Nov,2,Quintal,11
Bagalakot,Bagalkot,BAGALKOT,Bajra,Dec,3920,Quintal,12
Bagalakot,Bagalkot,BAGALKOT,Bengalgram,Dec,20,Quintal,12
Bagalakot,Bagalkot,BAGALKOT,Groundnut,Dec,353,Quintal,12
Bagalakot,Bagalkot,BAGALKOT,Jowar,Dec,7,Quintal,12
Bagalakot,Bagalkot,BAGALKOT,Maize,Dec,6401,Quintal,12
Bagalakot,Bagalkot,BAGALKOT,Onion,Dec,6401,Quintal,12
Bagalakot,Bagalkot,BAGALKOT,Sunflower,Dec,6401,Quintal,12
Bagalakot,Bagalkot,BAGALKOT,Tur,Dec,8,Quintal,12
Bagalakot,Bilgi,BILAGI,Chilly Red,Jan,90,Quintal,1
Bagalakot,Bilgi,BILAGI,Maize,Jan,3984,Quintal,1
Bagalakot,Bilgi,BILAGI,Chilly Red,Feb,2017,Quintal,2
Bagalakot,Bilgi,BILAGI,Groundnut,Feb,25,Quintal,2
Bagalakot,Bilgi,BILAGI,Maize,Feb,1565,Quintal,2
Bagalakot,Bilgi,BILAGI,Safflower,Feb,11,Quintal,2
Bagalakot,Bilgi,BILAGI,Bengalgram,Mar,110,Quintal,3
Bagalakot,Bilgi,BILAGI,Chilly Red,Mar,658,Quintal,3
Bagalakot,Bilgi,BILAGI,Cotton,Mar,1625,Quintal,3
Bagalakot,Bilgi,BILAGI,Groundnut,Mar,48,Quintal,3
Bagalakot,Bilgi,BILAGI,Jaggery,Mar,20,Quintal,3
Bagalakot,Bilgi,BILAGI,Maize,Mar,580,Quintal,3
Bagalakot,Bilgi,BILAGI,Bengalgram,Apr,45,Quintal,4
Bagalakot,Bilgi,BILAGI,Chilly Red,Apr,144,Quintal,4
Bagalakot,Bilgi,BILAGI,Cowpea,Apr,179,Quintal,4
Bagalakot,Bilgi,BILAGI,Groundnut,Apr,59,Quintal,4
Bagalakot,Bilgi,BILAGI,Maize,Apr,1865,Quintal,4
Bagalakot,Bilgi,BILAGI,Safflower,Apr,8,Quintal,4
Bagalakot,Bilgi,BILAGI,Sunflower,Apr,40,Quintal,4
Bagalakot,Bilgi,BILAGI,Bengalgram,May,309,Quintal,5
Bagalakot,Bilgi,BILAGI,Cotton,May,70,Quintal,5
Bagalakot,Bilgi,BILAGI,Cowpea,May,50,Quintal,5
Bagalakot,Bilgi,BILAGI,Groundnut,May,258,Quintal,5
Bagalakot,Bilgi,BILAGI,Jowar,May,10,Quintal,5
Bagalakot,Bilgi,BILAGI,Maize,May,2315,Quintal,5
Bagalakot,Bilgi,BILAGI,Safflower,May,4,Quintal,5
Bagalakot,Bilgi,BILAGI,Sunflower,May,85,Quintal,5
Bagalakot,Bilgi,BILAGI,Wheat,May,2,Quintal,5
Bagalakot,Bilgi,BILAGI,Cowpea,Jun,100,Quintal,6
Bagalakot,Bilgi,BILAGI,Groundnut,Jun,913,Quintal,6
Bagalakot,Bilgi,BILAGI,Maize,Jun,795,Quintal,6
Bagalakot,Bilgi,BILAGI,Sunflower,Jun,15,Quintal,6
Bagalakot,Bilgi,BILAGI,Cotton,Jul,201,Quintal,7
Bagalakot,Bilgi,BILAGI,Cowpea,Jul,50,Quintal,7
Bagalakot,Bilgi,BILAGI,Groundnut,Jul,836,Quintal,7
Bagalakot,Bilgi,BILAGI,Maize,Jul,756,Quintal,7
Bagalakot,Bilgi,BILAGI,Safflower,Jul,9,Quintal,7
Bagalakot,Bilgi,BILAGI,Sunflower,Jul,15,Quintal,7
Bagalakot,Bilgi,BILAGI,Wheat,Jul,132,Quintal,7
Bagalakot,Bilgi,BILAGI,Cotton,Aug,6401,Quintal,8
Bagalakot,Bilgi,BILAGI,Groundnut,Aug,92,Quintal,8
Bagalakot,Bilgi,BILAGI,Maize,Aug,100,Quintal,8
Bagalakot,Bilgi,BILAGI,Bajra,Sep,161,Quintal,9
Bagalakot,Bilgi,BILAGI,Cotton,Sep,6401,Quintal,9
Bagalakot,Bilgi,BILAGI,Maize,Sep,120,Quintal,9
Bagalakot,Bilgi,BILAGI,Bajra,Oct,320,Quintal,10
Bagalakot,Bilgi,BILAGI,Cotton,Oct,1258,Quintal,10
Bagalakot,Bilgi,BILAGI,Jowar,Oct,50,Quintal,10
Bagalakot,Bilgi,BILAGI,Maize,Oct,451,Quintal,10
Bagalakot,Bilgi,BILAGI,Cotton,Nov,20,Quintal,11
Bagalakot,Bilgi,BILAGI,Maize,Nov,4678,Quintal,11
Bagalakot,Bilgi,BILAGI,Cotton,Dec,604,Quintal,12
Bagalakot,Bilgi,BILAGI,Jowar,Dec,47,Quintal,12
Bagalakot,Bilgi,BILAGI,Maize,Dec,6401,Quintal,12
Bagalakot,Bilgi,BILAGI,Safflower,Dec,8,Quintal,12
Bagalakot,Hungund,HUNGUND,Bajra,Jan,47,Quintal,1
Bagalakot,Hungund,HUNGUND,Bengalgram,Jan,574,Quintal,1
Bagalakot,Hungund,HUNGUND,Jowar,Jan,153,Quintal,1
Bagalakot,Hungund,HUNGUND,Maize,Jan,45,Quintal,1
Bagalakot,Hungund,HUNGUND,Sesamum,Jan,5,Quintal,1
Bagalakot,Hungund,HUNGUND,Sunflower,Jan,612,Quintal,1
Bagalakot,Hungund,HUNGUND,Tur,Jan,270,Quintal,1
Bagalakot,Hungund,HUNGUND,Wheat,Jan,4,Quintal,1
Bagalakot,Jamkhandi,JAMKANDI,Bull,Jan,15,Numbers,1
Bagalakot,Jamkhandi,JAMKANDI,Cow,Jan,99,Numbers,1
Bagalakot,Jamkhandi,JAMKANDI,Goat,Jan,70,Numbers,1
Bagalakot,Jamkhandi,JAMKANDI,Jowar,Jan,25,Quintal,1
Bagalakot,Jamkhandi,JAMKANDI,Maize,Jan,2272,Quintal,1
Bagalakot,Jamkhandi,JAMKANDI,Onion,Jan,1120,Quintal,1
Bagalakot,Jamkhandi,JAMKANDI,Ox,Jan,31,Numbers,1
Bagalakot,Jamkhandi,JAMKANDI,She Baffalo,Jan,215,Numbers,1
Bagalakot,Jamkhandi,JAMKANDI,She Goat,Jan,5,Numbers,1
Bagalakot,Jamkhandi,JAMKANDI,Sunflower,Jan,100,Quintal,1
Bagalakot,Jamkhandi,JAMKANDI,Wheat,Jan,85,Quintal,1
Bagalakot,Jamkhandi,JAMKANDI,Bull,Feb,8,Numbers,2
Bagalakot,Jamkhandi,JAMKANDI,Cow,Feb,110,Numbers,2
Bagalakot,Jamkhandi,JAMKANDI,Goat,Feb,2,Numbers,2
Bagalakot,Jamkhandi,JAMKANDI,Jowar,Feb,80,Quintal,2
Bagalakot,Jamkhandi,JAMKANDI,Maize,Feb,2185,Quintal,2
Bagalakot,Jamkhandi,JAMKANDI,Onion,Feb,2101,Quintal,2
